title,description,image,featured
Nike Air Max,Lightweight running shoe with air cushioning,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,TRUE
Adidas Ultraboost,High comfort daily wear running shoe,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,TRUE
Puma RS-X,Stylish streetwear sneaker,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,TRUE
Reebok Nano,Training shoe for gym workouts,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,TRUE
New Balance 574,Classic everyday sneaker,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,TRUE
Converse Chuck Taylor,Timeless canvas high-top,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,FALSE
Vans Old Skool,Skate-inspired casual shoe,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,FALSE
Asics Gel Kayano,Stability running shoe,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,FALSE
Jordan Retro 1,Iconic basketball sneaker,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,FALSE
Skechers Go Walk,Comfortable walking shoe,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?q=80&w=1025&auto=format&fit=crop,FALSE